,Counts
2022-09-02 17:32:30,
2022-09-02 17:37:30,
2022-09-02 17:42:30,
2022-09-02 17:47:30,
2022-09-02 17:52:30,
2022-09-02 17:57:30,
2022-09-02 18:02:30,
2022-09-02 18:07:30,
2022-09-02 18:12:30,
2022-09-02 18:17:30,
2022-09-02 18:22:30,
2022-09-02 18:27:30,
2022-09-02 18:32:30,
2022-09-02 18:37:30,
2022-09-02 18:42:30,
2022-09-02 18:47:30,
2022-09-02 18:52:30,
2022-09-02 18:57:30,
2022-09-02 19:02:30,
2022-09-02 19:07:30,
2022-09-02 19:12:30,
2022-09-02 19:17:30,
2022-09-02 19:22:30,
2022-09-02 19:27:30,
2022-09-02 19:32:30,
2022-09-02 19:37:30,
2022-09-02 19:42:30,
2022-09-02 19:47:30,
2022-09-02 19:52:30,
2022-09-02 19:57:30,
2022-09-02 20:02:30,
2022-09-02 20:07:30,
2022-09-02 20:12:30,
2022-09-02 20:17:30,
2022-09-02 20:22:30,
2022-09-02 20:27:30,
2022-09-02 20:32:30,
2022-09-02 20:37:30,
2022-09-02 20:42:30,
2022-09-02 20:47:30,
2022-09-02 20:52:30,
2022-09-02 20:57:30,
2022-09-02 21:02:30,
2022-09-02 21:07:30,
2022-09-02 21:12:30,
2022-09-02 21:17:30,
2022-09-02 21:22:30,
2022-09-02 21:27:30,
2022-09-02 21:32:30,
2022-09-02 21:37:30,
2022-09-02 21:42:30,
2022-09-02 21:47:30,
2022-09-02 21:52:30,
2022-09-02 21:57:30,
2022-09-02 22:02:30,
2022-09-02 22:07:30,
2022-09-02 22:12:30,
2022-09-02 22:17:30,
2022-09-02 22:22:30,
2022-09-02 22:27:30,
2022-09-02 22:32:30,
2022-09-02 22:37:30,
2022-09-02 22:42:30,
2022-09-02 22:47:30,
2022-09-02 22:52:30,
2022-09-02 22:57:30,
2022-09-02 23:02:30,
2022-09-02 23:07:30,
2022-09-02 23:12:30,
2022-09-02 23:17:30,
2022-09-02 23:22:30,
2022-09-02 23:27:30,
2022-09-02 23:32:30,
2022-09-02 23:37:30,
2022-09-02 23:42:30,
2022-09-02 23:47:30,
2022-09-02 23:52:30,
2022-09-02 23:57:30,
